Timestamp,Action,Symbol,Price,Quantity,PnL,Balance,Reason
2025-12-08 11:28:48,SELL,NSE_EQ:MARUTI,16162.0,309,-927.0,-5136162.7,Trailing Stop Triggered
2025-12-08 11:32:01,BUY,NSE_EQ:MARUTI,16171.0,309,0.0,-5136162.7,Signal
2025-12-08 11:42:37,SELL,NSE_EQ:MARUTI,16169.0,309,-618.0,-5136780.7,Trailing Stop Triggered
2025-12-08 12:03:03,BUY,NSE_EQ:MARUTI,16151.0,309,0.0,-5136780.7,Signal
2025-12-08 13:20:56,SELL,NSE_EQ:MARUTI,16151.0,309,0.0,-5136780.7,Trailing Stop Triggered
2025-12-08 13:51:02,BUY,NSE_EQ:MARUTI,16142.0,309,0.0,-5136780.7,Signal
2025-12-08 13:51:08,SELL,NSE_EQ:MARUTI,16138.0,309,-1236.0,-5138016.7,Trailing Stop Triggered
2025-12-09 10:46:05,BUY,NSE_EQ:MARUTI,16069.0,311,0.0,-5138016.7,Signal
2025-12-09 11:28:06,SELL,NSE_EQ:MARUTI,16067.0,311,-622.0,-5138638.7,Trailing Stop Triggered
2025-12-10 10:41:02,BUY,NSE_EQ:MARUTI,16067.0,311,0.0,-5138638.7,Signal
2025-12-10 10:45:53,SELL,NSE_EQ:MARUTI,16056.0,311,-3421.0,-5142059.7,Trailing Stop Triggered
